Stage1_Source,Stage1_Source_Amount,Stage2_Receipt_Type,t,pct_of_receipts,pillar2_rank_wt,pillar2_rank,pillar1_rank,pillar1_rank_wt,sigmoid,curve
Social Insurance and Retirement Receipts,106425000000,Receipt,-6.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.002472623156634775,386.35450373391797
Customs Duties,2421000000,Receipt,-6.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.002472623156634775,70.30914870567955
Miscellaneous Receipts,11516000000,Receipt,-6.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.002472623156634775,221.0
Deficit,88426000000,Deficit,-6.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.002472623156634775,283.4666195873854
Individual Income Taxes,103981000000,Receipt,-6.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.002472623156634775,334.91056166065164
Excise Taxes,8123000000,Receipt,-6.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.002472623156634775,163.42126455914706
Corporation Income Taxes,5935000000,Receipt,-6.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.002472623156634775,116.8652066324133
Estate and Gift Taxes,2015000000,Receipt,-6.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.002472623156634775,23.753090778945793
Corporation Income Taxes,5935000000,Receipt,-5.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.0031726828424851906,116.86951199948128
Individual Income Taxes,103981000000,Receipt,-5.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.0031726828424851906,334.8993957086623
Excise Taxes,8123000000,Receipt,-5.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.0031726828424851906,163.4272850724454
Miscellaneous Receipts,11516000000,Receipt,-5.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.0031726828424851906,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-5.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.0031726828424851906,386.3416226356983
Customs Duties,2421000000,Receipt,-5.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.0031726828424851906,70.3117389265172
Estate and Gift Taxes,2015000000,Receipt,-5.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.0031726828424851906,23.753965853553108
Deficit,88426000000,Deficit,-5.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.0031726828424851906,283.4571687816264
Individual Income Taxes,103981000000,Receipt,-5.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.0040701377158961285,334.88508130343143
Customs Duties,2421000000,Receipt,-5.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.0040701377158961285,70.31505950954882
Corporation Income Taxes,5935000000,Receipt,-5.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.0040701377158961285,116.87503134695275
Excise Taxes,8123000000,Receipt,-5.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.0040701377158961285,163.4350031843567
Estate and Gift Taxes,2015000000,Receipt,-5.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.0040701377158961285,23.75508767214487
Social Insurance and Retirement Receipts,106425000000,Receipt,-5.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.0040701377158961285,386.3251094660275
Miscellaneous Receipts,11516000000,Receipt,-5.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.0040701377158961285,221.0
Deficit,88426000000,Deficit,-5.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.0040701377158961285,283.4450531408354
Social Insurance and Retirement Receipts,106425000000,Receipt,-5.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.005220125693558399,386.30394968723857
Corporation Income Taxes,5935000000,Receipt,-5.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.005220125693558399,116.88210377301537
Estate and Gift Taxes,2015000000,Receipt,-5.25,0.008381305736723013,25.0,8.0,7.6,23.75,0.005220125693558399,23.756525157116947
Deficit,88426000000,Deficit,-5.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.005220125693558399,283.429528303137
Individual Income Taxes,103981000000,Receipt,-5.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.005220125693558399,334.86673899518775
Excise Taxes,8123000000,Receipt,-5.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.005220125693558399,163.44489308096462
Miscellaneous Receipts,11516000000,Receipt,-5.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.005220125693558399,221.0
Customs Duties,2421000000,Receipt,-5.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.005220125693558399,70.31931446506616
Individual Income Taxes,103981000000,Receipt,-5.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.006692850924284857,334.8432490277576
Estate and Gift Taxes,2015000000,Receipt,-5.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.006692850924284857,23.758366063655355
Deficit,88426000000,Deficit,-5.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.006692850924284857,283.40964651252216
Miscellaneous Receipts,11516000000,Receipt,-5.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.006692850924284857,221.0
Corporation Income Taxes,5935000000,Receipt,-5.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.006692850924284857,116.89116103318435
Social Insurance and Retirement Receipts,106425000000,Receipt,-5.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.006692850924284857,386.2768515429932
Customs Duties,2421000000,Receipt,-5.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.006692850924284857,70.32476354841985
Excise Taxes,8123000000,Receipt,-5.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.006692850924284857,163.45755851794885
Excise Taxes,8123000000,Receipt,-4.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.008577485413711988,163.47376637455793
Deficit,88426000000,Deficit,-4.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.008577485413711988,283.3842039469149
Miscellaneous Receipts,11516000000,Receipt,-4.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.008577485413711988,221.0
Estate and Gift Taxes,2015000000,Receipt,-4.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.008577485413711988,23.76072185676714
Individual Income Taxes,103981000000,Receipt,-4.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.008577485413711988,334.8131891076513
Customs Duties,2421000000,Receipt,-4.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.008577485413711988,70.33173669603073
Social Insurance and Retirement Receipts,106425000000,Receipt,-4.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.008577485413711988,386.2421742683877
Corporation Income Taxes,5935000000,Receipt,-4.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.008577485413711988,116.90275153529433
Individual Income Taxes,103981000000,Receipt,-4.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.010986942630593181,334.774758265042
Customs Duties,2421000000,Receipt,-4.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.010986942630593181,70.34065168773319
Social Insurance and Retirement Receipts,106425000000,Receipt,-4.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.010986942630593181,386.1978402555971
Estate and Gift Taxes,2015000000,Receipt,-4.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.010986942630593181,23.76373367828824
Excise Taxes,8123000000,Receipt,-4.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.010986942630593181,163.49448770662312
Corporation Income Taxes,5935000000,Receipt,-4.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.010986942630593181,116.91756969717814
Deficit,88426000000,Deficit,-4.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.010986942630593181,283.351676274487
Miscellaneous Receipts,11516000000,Receipt,-4.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.010986942630593181,221.0
Corporation Income Taxes,5935000000,Receipt,-4.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.014063627043245477,116.93649130631596
Estate and Gift Taxes,2015000000,Receipt,-4.25,0.008381305736723013,25.0,8.0,7.6,23.75,0.014063627043245477,23.767579533804057
Excise Taxes,8123000000,Receipt,-4.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.014063627043245477,163.52094719257192
Individual Income Taxes,103981000000,Receipt,-4.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.014063627043245477,334.7256851486602
Social Insurance and Retirement Receipts,106425000000,Receipt,-4.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.014063627043245477,386.1412292624043
Customs Duties,2421000000,Receipt,-4.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.014063627043245477,70.35203542006
Deficit,88426000000,Deficit,-4.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.014063627043245477,283.31014103491617
Miscellaneous Receipts,11516000000,Receipt,-4.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.014063627043245477,221.0
Customs Duties,2421000000,Receipt,-4.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.017986209962091562,70.36654897685973
Estate and Gift Taxes,2015000000,Receipt,-4.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.017986209962091562,23.772482762452615
Excise Taxes,8123000000,Receipt,-4.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.017986209962091562,163.554681405674
Miscellaneous Receipts,11516000000,Receipt,-4.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.017986209962091562,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-4.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.017986209962091562,386.0690537366975
Individual Income Taxes,103981000000,Receipt,-4.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.017986209962091562,334.66311995110465
Corporation Income Taxes,5935000000,Receipt,-4.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.017986209962091562,116.96061519126685
Deficit,88426000000,Deficit,-4.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.017986209962091562,283.25718616551177
Excise Taxes,8123000000,Receipt,-3.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.02297736991002562,163.59760538122623
Individual Income Taxes,103981000000,Receipt,-3.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.02297736991002562,334.5835109499351
Customs Duties,2421000000,Receipt,-3.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.02297736991002562,70.38501626866709
Deficit,88426000000,Deficit,-3.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.02297736991002562,283.18980550621467
Corporation Income Taxes,5935000000,Receipt,-3.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.02297736991002562,116.99131082494665
Estate and Gift Taxes,2015000000,Receipt,-3.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.02297736991002562,23.778721712387533
Social Insurance and Retirement Receipts,106425000000,Receipt,-3.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.02297736991002562,385.97721639365557
Miscellaneous Receipts,11516000000,Receipt,-3.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.02297736991002562,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-3.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.029312230751356326,385.86065495417506
Customs Duties,2421000000,Receipt,-3.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.029312230751356326,70.40845525378002
Deficit,88426000000,Deficit,-3.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.029312230751356326,283.10428488485667
Corporation Income Taxes,5935000000,Receipt,-3.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.029312230751356326,117.03027021912084
Estate and Gift Taxes,2015000000,Receipt,-3.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.029312230751356326,23.786640288439195
Miscellaneous Receipts,11516000000,Receipt,-3.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.029312230751356326,221.0
Excise Taxes,8123000000,Receipt,-3.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.029312230751356326,163.65208518446167
Individual Income Taxes,103981000000,Receipt,-3.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.029312230751356326,334.48246991951584
Individual Income Taxes,103981000000,Receipt,-3.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.037326887344129464,334.35463614686114
Corporation Income Taxes,5935000000,Receipt,-3.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.037326887344129464,117.07956035716639
Deficit,88426000000,Deficit,-3.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.037326887344129464,282.99608702085425
Social Insurance and Retirement Receipts,106425000000,Receipt,-3.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.037326887344129464,385.71318527286803
Miscellaneous Receipts,11516000000,Receipt,-3.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.037326887344129464,221.0
Excise Taxes,8123000000,Receipt,-3.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.037326887344129464,163.7210112311595
Customs Duties,2421000000,Receipt,-3.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.037326887344129464,70.43810948317328
Estate and Gift Taxes,2015000000,Receipt,-3.25,0.008381305736723013,25.0,8.0,7.6,23.75,0.037326887344129464,23.796658609180163
Customs Duties,2421000000,Receipt,-3.0,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.04742587317756679,70.475475730757
Deficit,88426000000,Deficit,-3.0,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.04742587317756679,282.8597507121028
Excise Taxes,8123000000,Receipt,-3.0,0.03378726873419406,172.0,5.0,4.75,163.4,0.04742587317756679,163.80786250932707
Corporation Income Taxes,5935000000,Receipt,-3.0,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.04742587317756679,117.14166912004202
Individual Income Taxes,103981000000,Receipt,-3.0,0.4325044922134966,319.0,2.0,2.1,334.95,0.04742587317756679,334.1935573228178
Miscellaneous Receipts,11516000000,Receipt,-3.0,0.04790030613603088,221.0,4.0,4.0,221.0,0.04742587317756679,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-3.0,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.04742587317756679,385.5273639335328
Estate and Gift Taxes,2015000000,Receipt,-3.0,0.008381305736723013,25.0,8.0,7.6,23.75,0.04742587317756679,23.80928234147196
Deficit,88426000000,Deficit,-2.75,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.060086650174007626,282.6888302226509
Customs Duties,2421000000,Receipt,-2.75,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.060086650174007626,70.52232060564383
Corporation Income Taxes,5935000000,Receipt,-2.75,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.060086650174007626,117.21953289857014
Estate and Gift Taxes,2015000000,Receipt,-2.75,0.008381305736723013,25.0,8.0,7.6,23.75,0.060086650174007626,23.82510831271751
Excise Taxes,8123000000,Receipt,-2.75,0.03378726873419406,172.0,5.0,4.75,163.4,0.060086650174007626,163.91674519149646
Miscellaneous Receipts,11516000000,Receipt,-2.75,0.04790030613603088,221.0,4.0,4.0,221.0,0.060086650174007626,221.0
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.75,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.060086650174007626,385.2944056367983
Individual Income Taxes,103981000000,Receipt,-2.75,0.4325044922134966,319.0,2.0,2.1,334.95,0.060086650174007626,333.99161792972455
Miscellaneous Receipts,11516000000,Receipt,-2.5,0.04790030613603088,221.0,4.0,4.0,221.0,0.07585818002124356,221.0
Corporation Income Taxes,5935000000,Receipt,-2.5,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.07585818002124356,117.31652780713064
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.5,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.07585818002124356,385.00420948760916
Customs Duties,2421000000,Receipt,-2.5,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.07585818002124356,70.5806752660786
Excise Taxes,8123000000,Receipt,-2.5,0.03378726873419406,172.0,5.0,4.75,163.4,0.07585818002124356,164.0523803481827
Estate and Gift Taxes,2015000000,Receipt,-2.5,0.008381305736723013,25.0,8.0,7.6,23.75,0.07585818002124356,23.844822725026553
Deficit,88426000000,Deficit,-2.5,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.07585818002124356,282.4759145697132
Individual Income Taxes,103981000000,Receipt,-2.5,0.4325044922134966,319.0,2.0,2.1,334.95,0.07585818002124356,333.74006202866116
Excise Taxes,8123000000,Receipt,-2.25,0.03378726873419406,172.0,5.0,4.75,163.4,0.0953494648991095,164.22000539813234
Corporation Income Taxes,5935000000,Receipt,-2.25,0.02468637694662585,123.0,6.0,5.699999999999999,116.85,0.0953494648991095,117.43639920912952
Individual Income Taxes,103981000000,Receipt,-2.25,0.4325044922134966,319.0,2.0,2.1,334.95,0.0953494648991095,333.4291760348592
Social Insurance and Retirement Receipts,106425000000,Receipt,-2.25,0.44267020497803805,368.0,1.0,1.05,386.40000000000003,0.0953494648991095,384.6455698458564
Deficit,88426000000,Deficit,-2.25,0.367804139491548,270.0,3.0,3.1500000000000004,283.5,0.0953494648991095,282.212782223862
Customs Duties,2421000000,Receipt,-2.25,0.01007004525489152,74.0,7.0,6.6499999999999995,70.3,0.0953494648991095,70.65279302012671
Miscellaneous Receipts,11516000000,Receipt,-2.25,0.04790030613603088,221.0,4.0,4.0,221.0,0.0953494648991095,221.0
